ZIP;Median_Income
78610;76623
78613;96857
78641;88562
78652;87520
78653;66752
78660;81693
78664;67462
78701;112201
78702;54053
78703;98553
78704;66262
78705;15309
78717;104167
78719;46833
78721;41611
78722;69267
78723;49606
78724;45158
78725;62172
78726;88322
78727;74458
78728;55603
78729;73047
78730;108750
78731;89099
78732;142612
78733;136563
78734;107827
78739;147736
78741;39049
78744;47073
78745;60567
78746;136138
78747;79500
78748;74176
78749;92313
78750;81061
78751;54129
78752;41486
78753;45983
78754;64114
78756;73578
78757;65709
78758;50018
78759;76749
