Zip Code,Population
78610,32692
78613,77779
78617,27900
78641,60135
78652,4965
78653,20822
78660,85450
78664,61361
78681,57234
78701,7875
78702,22876
78703,20788
78704,47158
78705,33075
78712,845
78717,27764
78719,2007
78721,12447
78722,7254
78723,33170
78724,24833
78725,7517
78726,14610
78727,28999
78728,21245
78729,29434
78730,8933
78731,27447
78732,17762
78733,8754
78734,18722
78735,17919
78736,8199
78737,15879
78738,15746
78739,20191
78741,52307
78742,517
78744,48432
78745,62220
78746,28268
78747,20954
78748,49142
78749,37453
78750,30758
78751,14949
78752,20302
78753,58693
78754,23858
78756,8377
78757,24059
78758,46618
78759,41847
